Group,Region,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023
Hisp,North,58.3,30.3,36.4,46.8,29.8,18.1,28.5,17.2
NHA,North,40.5,16.3,17,9.2,0,0,8.5,0
NHB,North,214.8,166,187.5,187.2,105.9,122.5,90.3,80.7
NHW,North,41.3,45.8,35.7,35.6,15.4,14.9,23.6,20.2
Hisp,North_Central,16.3,49.1,38.8,39.6,11.3,14.3,32.3,17.1
NHA,North_Central,10.5,7.9,3.5,9,0,3.1,3.2,6.3
NHB,North_Central,133.2,102.3,134.6,126.3,65.1,85.3,97.7,108.2
NHW,North_Central,29.7,28.2,23.7,27.7,15.4,19.1,23.3,20.9
Hisp,West_Central,15,32.1,26.7,17.4,0,8.4,70.2,66
NHB,West_Central,108.3,64.8,85.8,55.5,45.9,81.5,118.7,123.8
NHW,West_Central,42.3,42.7,43.5,36.9,23.3,20.3,35,32.4
Hisp,Metro_East,20,17.5,17,14.4,19,6.8,13.2,12.3
NHA,Metro_East,8.9,0,12.6,0,0,22.3,0,0
NHB,Metro_East,67.2,72.8,71,82.5,36,31.9,45.2,52.8
NHW,Metro_East,19.7,15.2,14.5,15.1,8.3,5.9,10.2,11
Hisp,Southern,22.1,21,39.9,20.5,12.3,6.9,15.4,14.1
NHA,Southern,11,0,0,22.8,0,0,0,0
NHB,Southern,108.3,77.4,89.8,47.7,27.3,28.7,40.2,55.7
NHW,Southern,33.6,34.7,29.8,27,13.3,14.3,9.4,10.1
Hisp,East_Central,29.5,45,36,35.2,13,18.8,27.3,15.8
NHA,East_Central,12.8,10.2,2,0,0,4.6,5.3,4.4
NHB,East_Central,169,172,146.8,135.8,102.6,96.1,106.9,102.5
NHW,East_Central,36.3,31.9,27.7,29.5,18.9,15.5,20.9,21.3
Hisp,South_Suburban,102.1,71,54.1,47,19.7,39.7,24.1,37
NHA,South_Suburban,43.5,36.3,55.6,45.6,28.6,18.8,23.8,47.1
NHB,South_Suburban,206.8,158.3,191.5,202.8,96.9,123.2,127.3,146.3
NHW,South_Suburban,41.2,42.6,47,44.9,19.8,28.1,39.2,31.4
Hisp,West_Suburban,45.8,45.2,36.6,35.8,17,28.2,33.2,38.7
NHA,West_Suburban,18.6,24.3,17,27.6,12.9,17.5,19.1,25.8
NHB,West_Suburban,188.3,198.1,193.5,209.3,124,113.9,151.4,126.1
NHW,West_Suburban,42.8,39.3,41.6,36.8,20.5,23.8,37.6,34.4
Hisp,North_Suburban,32.7,43.2,45.8,32.2,10.6,19.7,39.6,40.1
NHA,North_Suburban,14,28,22.1,20.1,5.6,7.3,22.5,8
NHB,North_Suburban,180.9,137.2,188,149.7,77.1,115.7,94.7,110.7
NHW,North_Suburban,37,42.5,45.3,43.7,23.3,27.2,35.6,35
Hisp,Cook,70,69.6,70,66.4,35.9,39.5,53.4,51.4
NHA,Cook,27.1,26.2,31.1,29.1,12.4,12,23.2,21.9
NHB,Cook,228.7,216.5,220.8,211.3,117.9,151.3,155.3,139.8
NHW,Cook,39.3,38.1,39.2,38.5,17.4,21.7,27.9,26.1
Hisp,Statewide,61.2,60.7,58.6,55.3,28.8,33.2,44.2,43.3
NHA,Statewide,24.5,24.4,26.3,26.4,11.7,12.2,20.3,20.7
NHB,Statewide,203.3,189.8,197.2,189,106.4,132.2,137.7,129.5
NHW,Statewide,37,36.4,36,35,17.9,20.5,28.6,25.4
